Country;Region;CentreLat;CentreLong
DK;1;56,95329502;9,586857782
DK;2;56,21762189;10,06328993
DK;3;55,51459944;9,032015594
DK;4;55,46175856;10,04402846
DK;5;55,34286984;12,02905885
DK;6;55,81147999;12,29264961
DK;7;55,68728057;12,43152809
DK;8;55,72144833;12,52256111
ES;1;;
FI;1;60,21029036;25,05082545
FI;2;61,89922419;22,8957948
FI;3;61,64530641;27,27519502
FI;4;64,95289297;25,19511077
FI;5;60,5585813;23,06436297
FI;6;60,20672511;24,76595046
FR;1;48,84272681;2,468644557
FR;10;43,31381552;5,891149367
FR;11;48,50894116;2,373067671
FR;12;45,70126734;4,6891718
FR;13;47,15033284;-1,289890343
FR;2;50,70163824;2,7153663
FR;3;49,05573097;2,3479918
FR;4;43,56603239;4,799834363
FR;5;48,72346004;2,09664323
FR;6;47,74486693;5,858210683
FR;7;43,93800137;-0,034252033
FR;8;48,75593631;-0,614265713
FR;9;48,9381828;5,885436663
NL;1;52,24676066;5,158292692
NO;1;58,30756135;8,1788728
NO;10;62,27835619;7,13811095
NO;11;59,85858791;10,57862757
NO;2;59,91980873;10,72460271
NO;3;60,13043913;5,377252858
NO;4;63,63105406;10,68930756
NO;5;59,46317974;9,875006686
NO;6;59,55907217;10,89562667
NO;7;60,70289677;10,91542416
NO;8;68,53947342;17,10541783
NO;9;58,84796243;5,738586807
PT;1;38,32102945;-9,038412275
PT;2;41,19320222;-8,37980426
SE;1;58,49041804;12,74475414
SE;2;59,20246304;17,7420286
SE;3;55,68092317;13,02987445
SE;4;59,44771319;18,05221481
SE;5;56,87918706;14,2631213
SE;6;58,79473776;17,43996819
SE;7;59,97188642;16,80871906
SE;8;63,93237603;19,26283288
